id,timestamp,temperature,humidity,irradiance,wind_speed,source,wind_power_density,solar_energy_yield
2162,2025-11-30 23:00:00,28.33,84.17,0.0,3.0,nasa_power,16.54,0.00
2163,2025-11-30 22:00:00,28.67,83.33,0.0,3.0,nasa_power,16.54,0.00
2164,2025-11-30 21:00:00,29.0,82.5,0.0,2.0,nasa_power,4.90,0.00
2165,2025-11-30 20:00:00,29.13,80.67,0.0,2.9,nasa_power,14.94,0.00
2166,2025-11-30 19:00:00,28.87,76.83,0.0,1.6,nasa_power,2.51,0.00
2167,2025-11-30 18:00:00,30.2,81.0,0.41,2.1,nasa_power,5.67,0.00
2168,2025-11-30 17:00:00,29.53,75.17,0.74,2.6,nasa_power,10.77,0.00
2169,2025-11-30 16:00:00,30.47,77.33,1.49,1.9,nasa_power,4.20,0.01
2170,2025-11-30 15:00:00,31.6,80.5,2.39,2.3,nasa_power,7.45,0.01
2171,2025-11-30 14:00:00,30.33,71.67,3.34,1.5,nasa_power,2.07,0.01
2172,2025-11-30 13:00:00,31.67,75.83,4.02,2.0,nasa_power,4.90,0.02
2173,2025-11-30 12:00:00,32.4,77.0,4.5,2.2,nasa_power,6.52,0.02
2174,2025-11-30 11:00:00,31.07,72.83,3.79,2.7,nasa_power,12.06,0.02
2175,2025-11-30 10:00:00,31.53,77.67,2.94,2.1,nasa_power,5.67,0.01
2176,2025-11-30 09:00:00,30.0,72.5,2.28,1.5,nasa_power,2.07,0.01
2177,2025-11-30 08:00:00,29.67,73.33,1.46,1.5,nasa_power,2.07,0.01
2178,2025-11-30 07:00:00,31.13,83.17,0.77,3.4,nasa_power,24.07,0.00
2179,2025-11-30 06:00:00,30.0,80.0,0.42,2.0,nasa_power,4.90,0.00
2180,2025-11-30 05:00:00,29.47,79.83,0.0,1.9,nasa_power,4.20,0.00
2181,2025-11-30 04:00:00,29.33,81.67,0.0,3.0,nasa_power,16.54,0.00
2182,2025-11-30 03:00:00,28.0,77.5,0.0,2.5,nasa_power,9.57,0.00
2183,2025-11-30 02:00:00,29.27,86.33,0.0,3.3,nasa_power,22.01,0.00
2184,2025-11-30 01:00:00,29.13,88.17,0.0,2.4,nasa_power,8.47,0.00
2185,2025-11-30 00:00:00,28.6,88.0,0.0,3.3,nasa_power,22.01,0.00
2186,2025-11-29 23:00:00,28.53,85.17,0.0,2.1,nasa_power,5.67,0.00
2187,2025-11-29 22:00:00,28.67,83.33,0.0,2.0,nasa_power,4.90,0.00
2188,2025-11-29 21:00:00,29.6,85.5,0.0,3.3,nasa_power,22.01,0.00
2189,2025-11-29 20:00:00,28.73,78.67,0.0,1.7,nasa_power,3.01,0.00
2190,2025-11-29 19:00:00,28.87,76.83,0.0,2.6,nasa_power,10.77,0.00
2191,2025-11-29 18:00:00,29.6,78.0,0.37,1.8,nasa_power,3.57,0.00
2192,2025-11-29 17:00:00,29.33,74.17,0.66,2.5,nasa_power,9.57,0.00
2193,2025-11-29 16:00:00,29.67,73.33,1.32,1.5,nasa_power,2.07,0.01
2194,2025-11-29 15:00:00,31.4,79.5,2.13,2.2,nasa_power,6.52,0.01
